SSE-601166,SSE-601117,SSE-600089,SSE-600048,SSE-600583,SSE-600316,SSE-601006,SSE-600150,SSE-600143,SSE-601179,SSE-600795,SSE-600050,SSE-600362,SSE-600016,SSE-601857,SSE-600108,SSE-600276,SSE-601088,SSE-601898,SSE-601808,SSE-601607,SSE-601288,SSE-601988,SSE-601998,SSE-600642,SSE-600585,SSE-600809,SSE-601333,SSE-601328,SSE-601118,SSE-600887,SSE-600895,SSE-600015,SSE-600600,SSE-601939,SSE-601377,SSE-600837,SSE-601991,SSE-601688,SSE-600019,SSE-600352,SSE-601099,SSE-600309,SSE-600415,SSE-601398,SSE-600008,SSE-601106,SSE-600383,SSE-601933,SSE-600519,SSE-601958,SSE-600489,SSE-600009,SSE-601601,SSE-600999,SSE-601168,SSE-600031,SSE-600036,SSE-601699,SSE-600085,SSE-601098,SSE-600660,SSE-600188,SSE-601318,SSE-600267,SSE-601668,SSE-601158,SSE-601009,SSE-600030,SSE-600011,SSE-601600,SSE-600029,SSE-600111,SSE-600028,SSE-600118,SSE-600166,SSE-600875,SSE-601628,SSE-601186,SSE-600348
27.520949312619273,5.78,439.1497726218094,95.63344429687297,144.18090813194158,119.79120345408992,8.78783692624699,106.17509791099316,164.54834361205357,8.14,573.2319235713038,7.796456878166031,62.70018411319558,67.33365668258881,12.217864838537414,68.05403854852425,428.3530101748999,26.338437368990288,11.435791787793107,26.44421919899223,151.7720121377281,2.67,3.7046196728368495,5.519355870546375,35.21619158611929,74.95570477638623,128.8041158247327,3.733622644736647,6.333330018292968,11.01,404.34671007338113,161.37694941843222,19.907233406686192,52.310103595324364,5.201346883493375,16.51,191.09652333084338,12.840695893140257,13.98,11.478376404898448,94.8431579086835,11.067779565567198,348.27432255291353,318.9336734519368,4.784469085853259,21.95226558306905,6.23,82.13327596667,33.64,885.7645477128112,32.11004318837254,219.3434655374649,31.99393799904423,24.329903641101545,19.734502593116392,20.026258133396606,600.7746959283203,44.66712482520595,123.50941854190313,138.54404779551504,12.08,495.22810677037916,69.06112054322872,58.81075867740624,152.28989052840456,3.5486661050266624,8.43607490636701,14.77881552338092,57.13461177995902,19.12453331856553,10.590142128089612,15.195,303.80416364705036,12.68292375491612,267.67660113809563,140.95716742189532,99.15915162755651,23.02028195155143,7.110174671312004,214.14447930727883
27.55946273906473,5.768211282574973,424.6784082121905,95.98210352324739,134.97379410811226,118.17691134388994,8.743492861121734,103.91096798112227,166.83548679259178,7.671923390201291,562.1937886188854,7.81830308241086,59.91742105593098,67.64581475686721,12.042376824922993,66.24389683430175,426.9582454942263,26.120178494685984,11.318305558859052,25.1988873225958,148.23299987238317,2.6548211887713222,3.6788370506566923,5.462368674841974,34.81528502942825,73.44109793304878,128.74658324318958,3.6795569326629365,6.308856831246527,10.560206758615402,414.2367407566103,156.6519211656366,19.973556489620737,53.03737105094456,5.149952510715274,15.507204508542838,186.91425127661645,12.496235712736503,13.234993243712147,11.554688506627585,93.78972129844749,10.95338830569643,354.47881940071005,307.97158857400666,4.762711782316102,21.490409037856562,6.100201851894062,82.90387786340472,34.64092697465655,895.8568552606605,29.86011238081798,214.72543900065827,31.78872175246417,23.97603144755917,19.235114163962407,19.38868879851213,587.0334908589266,44.34642494860198,116.56741151218745,145.81507165362342,12.163811423802784,490.23867914531064,67.06686432152115,58.02117259824942,152.41701188120194,3.5034050488513566,8.167320190266885,14.730496445509145,55.862564012239496,18.96453188741401,10.059146954128227,14.721638269372903,297.3684475765333,12.610913366432246,264.6888507222127,133.96504415264965,99.83004206940392,22.66622333356039,6.751925331910146,201.69745467539235
27.702741990178144,5.757216065950647,414.9480283522187,97.63665169707986,138.1188012367277,118.93955145784902,8.925806842709745,107.35053927668541,166.19066335959343,7.664171718566132,570.4502008822736,7.934288784686947,61.758907588558436,69.30062737418878,12.251254265468337,64.9599170900598,431.44258227650147,27.104224376076086,11.527590637326071,26.74710357359762,150.25287870325974,2.665871333492898,3.685349300815536,5.402517379270829,35.76690386350074,74.77886473858118,135.14599866439295,3.781370181082282,6.41610565770937,10.322532961508314,436.23397332807025,161.6306724774621,20.471737894926108,54.07901313152992,5.203656366208254,15.550860800031966,182.977903304404,12.699430626944226,13.445124621351763,11.850334603571001,97.45413222199272,11.000318056254217,362.154933300313,314.0203617855283,4.8418982356168545,21.69676048179172,6.210762432264461,85.64548805728515,35.104746790278746,933.3273833738422,29.99978435813761,220.6499405871167,31.83890332036642,24.55990961167092,18.76717426897375,19.81914984566746,602.3787800761897,44.946682201480485,119.80364608572029,152.51121276112497,12.531330837634291,502.05155811974277,67.85181319405267,57.0945778736263,155.21841936980584,3.5492481428617095,8.348807908511592,14.873835880068139,56.16426623241491,19.719243620659412,10.39065678687043,15.103050294247042,302.78805140076054,12.809724170017736,268.76052881724013,139.20842934526212,102.65232174364874,22.996926688985713,6.749668778636775,203.02738907596756
28.373834243725234,5.9596929154867935,429.931517441376,98.27407327448726,141.76665306747174,123.11070235457863,9.042051053830518,108.48841467206731,172.37905839766145,8.100123430379535,577.7394103688421,7.985698382222011,68.38905256972058,69.10516599376915,12.167985573119868,67.26849917811553,453.8984083521381,27.814768097757906,12.191871639429515,27.93836544225202,159.95746616324317,2.680498642802597,3.703857235139907,5.488648977124402,36.652614351876494,78.30935465022907,141.14438958574516,3.8779164233308867,6.536087720217463,10.592819098932075,431.4537448450439,163.74720686245777,21.058884272611763,56.062869145834526,5.285495230716932,16.800467440469546,193.09985537142083,12.693527093146496,14.283237749509562,12.12493079233502,103.08583762608032,11.904909229048837,374.0976254456574,339.26887148497207,4.858017057650832,22.39579385791775,6.548233044699202,87.8858851900255,36.3523684619811,958.5014678955705,32.72947053843348,235.4196008817308,32.81668893678996,25.54666319784907,19.81105028106951,21.733134132305857,609.1928400486587,45.722131978996124,129.38198558192687,159.14386870134064,13.039733856025126,520.7445093416115,72.39902086703327,60.77940379026693,156.3833462618723,3.669481912354012,8.607191705402332,15.30053177997961,58.7940263796863,19.915290442340474,11.118794804135778,16.447545255558488,320.3245155083119,12.85283322989697,276.3406218559545,148.6280116554345,105.63365330310829,24.343702412586435,7.226884445107315,222.41837596511846
29.482300574528658,6.104924484820171,429.5460314350185,102.38510083351214,146.73429333822597,126.27079248585328,9.276037882283482,111.60206459588896,175.43273991748876,8.03444334708667,585.7669239496291,8.189172944615429,69.21707320438748,71.6248295626814,12.355889708909812,67.53750421015525,460.24548839718216,28.724636001805383,12.643150849216253,28.30883535345323,160.73422819340368,2.730805985555142,3.7127793447186908,5.537054800436182,37.266728619532486,80.52512005826831,147.976487511295,3.994943548076405,6.638391268108052,10.536026102814192,442.0606360275971,170.91230353360862,21.73041338729038,56.93380868157877,5.354298389079388,17.178214139619094,195.94302227845088,13.004115879777675,14.495077278471182,12.477550063937487,105.52386870126993,11.892259673762837,390.09182649104383,329.75446598771987,4.904650461762228,22.655401835719577,6.559821288631523,92.54855291576114,37.53673700911829,988.2545325811868,33.06339198542864,236.80616528278222,33.657164850782394,26.90945531368711,20.091516518153725,21.907523554786763,607.0626105807874,47.194203651837846,129.8365681830474,160.12992482750002,13.25812952248533,516.4973667231935,73.57622450676578,62.75522993294205,157.79336852547172,3.747200454005688,8.514964576009634,15.90426608326941,60.25611718570236,20.264038331016348,11.318930851136088,16.004746693159127,326.68873951409466,13.140660287361026,291.1200962183678,150.26577606773637,105.15317726770762,25.14128378137115,7.216592994672719,223.14158840128783
30.286069660593796,5.872243807509694,430.3059383370857,105.73767394542419,145.52321354268597,126.5231509952745,9.20198554565815,108.33474146495253,179.20677871244774,7.8597430698855435,581.9745447111277,8.213751414234167,69.75809510534718,73.13180497281743,12.650979568209966,65.8223393071146,457.296535315326,28.93893469392811,12.738721685805032,27.66613609062629,165.17035939065659,2.8032837436758977,3.79252633211803,5.694927923525905,36.65634740546763,78.64854541347087,144.50507692125439,3.909391165334237,6.729099320002146,10.229177040203005,458.1990234340404,167.55638314669946,22.594770270459918,57.52576135920385,5.482614980423484,17.23542574384918,200.7897433371799,12.991265201279784,15.100614210470507,12.480501942102732,105.51085936604382,12.398813885082197,382.97282669072075,337.0322166708833,4.998381333278901,23.725317070323023,6.735981796781717,95.18492709061631,37.70270919834886,1013.5764986898988,32.68172000056032,228.5769016930694,33.6862842919607,27.464052403444377,20.745562096714007,21.847034671515765,611.5950216344676,48.891650028977494,129.00012095156478,158.96153231306982,13.405207997349448,519.1860461563206,75.2565550633309,64.2176359495542,158.96099684557083,3.778536930795921,8.644786349648442,16.141336262787334,61.30915880934971,20.292799406254314,11.333480057485064,16.59423204091863,316.37721136253083,13.336025900652164,292.2172263889767,149.8954019550886,103.5737709726289,25.422047953939796,7.167890328921631,222.47698693679203
31.001757206472615,5.955159239704943,442.7720160790802,105.84632301445659,150.13955178656337,127.46907490590654,9.018186880519659,105.45746861110922,176.16644987900347,8.060233895273244,594.0736343715508,8.229900546818094,70.36381256918509,73.91750050024005,12.84636993654567,62.652203163949025,468.9748271947292,28.88224680485858,12.924953483587911,28.395140415155428,164.56004332136862,2.7944365965833207,3.751832772091976,5.676253323868383,36.624400876776924,79.5709553231555,142.17926926182133,3.9254136630157896,6.716051657250183,10.122535891324926,452.851667161482,168.25289844514452,22.76177223478387,56.36672378357254,5.4630176786155,17.801692701769976,210.2110301382664,12.879906407351783,15.533917382480666,12.416860575674173,104.86733604859448,12.853024723956569,383.4856023396689,328.0572473962856,4.978051385957701,24.22658024167979,6.937737438042291,97.04854298943754,37.58805425960254,1008.7894127964435,33.21032472219569,229.69810931350398,34.83474412690882,27.82260314152521,21.540672684145317,22.011505473928285,635.052728219684,49.13647725136934,130.3800463912658,157.02517917863867,13.19272554177983,524.5523124664488,75.46382528031461,64.20905066134979,158.26450822002624,3.763400017825145,9.00966738791476,16.28860896654505,64.3350883212699,20.48611532868413,11.496370610395248,16.620934997579287,318.8328707690095,13.660395650067683,293.1831835410675,148.37657720596872,106.16098630038366,25.315855633459705,7.202369787832715,218.77039618076248
30.55729291247129,6.030250333458163,452.37276589721824,107.12694720147506,148.81837875756574,131.23925906968745,8.951962420339008,109.32263609179604,170.56828147087296,8.445806757285162,582.7501483102697,8.406200236688152,72.63452629108963,72.68457838935615,13.063089776690328,61.064827999976224,466.37963265665917,28.532883055843286,12.877728926333466,28.649410404297534,170.14211506222688,2.789407527047999,3.739341923185113,5.5734501953896824,35.88847362780195,80.8369989706547,138.3712688069722,3.8261955377380548,6.624030355983895,9.967807943758052,453.8106252941743,167.09875318431156,22.218122326263156,56.09104158702088,5.438984195824296,18.438407758876043,213.56952191388714,12.584021702986824,16.165436427757587,12.501841173318644,113.50328238770963,13.02258845087257,381.1729989942479,341.78423086539306,4.967348865618862,24.901110356049738,7.151761034406141,98.11074056091321,37.72550293478873,1004.6747489456815,34.83271735334893,233.8120413240703,34.17898868119167,27.749514448646007,22.150524233100334,22.45149944352827,632.1154039220157,48.72421920580987,129.6967947277063,154.1719594335181,13.472473110863726,522.5522320792401,73.88687454889293,66.23630908633768,157.74762968949025,3.8147821504153625,9.24690779245379,16.08658444205942,65.94470135914186,20.099253981429896,11.610740010451787,17.317016971749315,326.97390684449687,13.959136592388319,297.8920962662998,154.8875640506444,104.90112201553212,25.520654473862983,7.360166580105938,215.68303699447125
30.320859282887252,6.229911531091557,440.91859030719485,109.24428167622214,147.85096206042746,126.17384257563432,9.117418607037871,107.76736009644814,164.99831615757938,8.307657462998822,601.1398608880089,8.647404697184532,69.4595736077699,73.73616091317541,13.36550198075324,61.064486862077885,459.4481086617839,29.45615940018988,13.168405959816596,28.89461482744385,164.360971122473,2.7975787422127993,3.7540029392773233,5.397192395272253,36.6031491854274,82.71630777440397,137.13502768957957,3.847535541959176,6.6574230171555575,9.48204545861586,452.86128389784517,162.34380284066333,22.254464385822494,56.8372427917671,5.530905295275107,18.430738819079103,214.443331802101,12.851085478618396,15.723639010120342,12.611010129630978,108.56782854677796,12.767197264065006,394.6235728572935,330.5103736703157,5.018525716467604,24.690805139590637,6.910345611595613,98.04944741380899,36.44105212954725,1022.2271879196333,33.1361543571725,231.09395676116412,34.71540179939366,27.833965053425384,22.307775811008394,21.948686700219294,632.4906192541994,48.430085208832395,130.10461534406372,152.7131222020163,13.296432976032035,528.299939917709,73.83545918399017,63.71498288945894,156.8023139885299,3.8987106851113382,9.270892339662831,15.957684673525494,66.28854841781109,20.42126601086737,11.306634857177428,16.478176270055172,321.9167582114373,14.487382330074192,297.03073716348916,146.3539304060652,104.62415515943259,25.498027632727666,7.444454763316009,213.6196973526134
29.84636279921269,6.018780117295146,418.5098464676887,108.39720378888903,140.30072412160857,119.34729836106095,9.05964135104402,106.05565681654893,161.2720844245001,7.677792825427788,579.8742837274671,8.336150825818427,67.60225085130767,73.44596839798704,12.981330657801836,57.626686951842906,455.1273600365486,30.002818637570684,12.973828729177926,27.427370495450727,155.01280819573958,2.7581010859814343,3.647961751400008,5.171867520090324,35.836466236202426,79.6489680760337,130.312811644527,3.6975109767444336,6.5136615674591205,9.04211188933242,451.14164000899547,151.28601601331246,21.89634570135688,57.61310182430863,5.462749347048064,17.634776935408546,206.77694395182738,12.385452378047761,14.902291273079388,12.376547874410933,107.90044005444521,12.281533379123033,394.8068247145881,314.1940359094173,4.989975476245202,22.792741249159583,6.4718888678757605,94.73628363204665,36.790933125853876,1019.1624136691006,31.7396587550411,226.3569829137639,33.513238667663686,27.194124173884774,21.842281539820352,21.344963516294246,605.4794829678386,47.2147116495608,130.40236064632745,150.9732774380592,13.372487425037377,519.1032908702987,74.02143825007522,62.20872334599151,149.44669676290297,3.774181362710436,8.767701269120353,15.661301868150458,65.12187029735009,20.071983084276294,10.690077821307197,15.4655438472274,315.755472601449,14.154515971759219,293.3248967360483,136.88173029877956,99.18775831649694,24.48911446750659,7.1939550478046765,210.83145136647465
