	SSE-601166	SSE-601117	SSE-600089	SSE-600048	SSE-600583	SSE-600316	SSE-601006	SSE-600150	SSE-600143	SSE-601179	SSE-600795	SSE-600050	SSE-600362	SSE-600016	SSE-601857	SSE-600108	SSE-600276	SSE-601088	SSE-601898	SSE-601808	SSE-601607	SSE-601288	SSE-601988	SSE-601998	SSE-600642	SSE-600585	SSE-600809	SSE-601333	SSE-601328	SSE-601118	SSE-600887	SSE-600895	SSE-600015	SSE-600600	SSE-601939	SSE-601377	SSE-600837	SSE-601991	SSE-601688	SSE-600019	SSE-600352	SSE-601099	SSE-600309	SSE-600415	SSE-601398	SSE-600008	SSE-601106	SSE-600383	SSE-601933	SSE-600519	SSE-601958	SSE-600489	SSE-600009	SSE-601601	SSE-600999	SSE-601168	SSE-600031	SSE-600036	SSE-601699	SSE-600085	SSE-601098	SSE-600660	SSE-600188	SSE-601318	SSE-600267	SSE-601668	SSE-601158	SSE-601009	SSE-600030	SSE-600011	SSE-601600	SSE-600029	SSE-600111	SSE-600028	SSE-600118	SSE-600166	SSE-600875	SSE-601628	SSE-601186	SSE-600348
2014-11-18 00:00:00+08:00	36.14474970004082	6.942547545910026	326.7455401769161	101.52166846447649	140.75557407884148	110.61641832558199	12.818245708427382	115.5995689425186	109.07333322045186	5.361619408463387	634.701513212789	5.484661922418511	21.12842583762753	118.32856263664452	9.617921556561297	85.33098023746537	571.9059335161822	19.023650182642488	5.436575307877775	18.355513484714013	108.1992194749114	3.1350147267189903	4.202205783253895	6.237843030782642	38.26850443783685	67.40691126757206	76.9560080807955	3.996813082511659	6.426478558824647	9.471434240509279	781.1354841096535	174.76785726434537	23.259683557052732	60.0143628202859	5.92581439446534	17.75219470638125	238.6002483796038	9.69756835251172	14.815831739853087	9.240293249496617	122.15431918208485	12.677841544459802	479.91809501016235	143.62431126696225	5.282450223456005	26.150294777686373	4.09138470792359	100.71864050301407	32.78367873191514	979.8510203478877	11.28432370657681	94.38644273494398	47.6851112132709	22.52691369742969	18.5032398800882	7.469177954563906	281.71906625525287	44.09139415947195	39.114519426180685	200.54593590613263	15.097583720440374	647.355435561034	23.194877518977474	46.336393089755184	108.2876931827307	4.341799777969399	7.3493388065307315	17.948752980784224	71.96024311920058	24.94261497321259	3.969126420879173	5.577090531713417	282.6732951375507	12.224371936298608	345.10743538899965	76.39449308432793	49.20283335518867	18.362940694194695	7.685571876079033	54.786203795777425
2014-11-19 00:00:00+08:00	36.07616383723239	6.8594032639230775	328.3891294132185	101.17098912608448	140.5741880297708	111.70302361365252	12.498484698347303	116.25508109983367	109.7873975950538	5.361619408463387	634.701513212789	5.4998548917326895	21.158717487573952	118.14539148705221	9.555870449744774	87.18388152262176	576.2670358227742	18.734269260552033	5.40259671220354	18.421225346831125	108.7957692721542	3.1350147267189903	4.187863783993643	6.2759561246570765	38.651189482215216	66.85856916545352	76.33068840516606	3.936438262534141	6.411806233347878	9.430164374537565	775.6276851756577	171.14275978833817	23.125078906838304	59.428254933580476	5.897663257199472	17.25271912261437	235.5122382625252	9.743096842429617	14.815831739853087	9.199765647525142	122.49060085911741	12.6110281502861	474.7953737712898	145.53930208385506	5.225801963687039	26.291266717188726	4.0409981967422635	100.33761159821077	32.28506764854001	963.4813444955169	11.205504216193269	93.62438379706093	47.368935068999654	22.538194074844533	18.44695626068109	7.490765174085768	276.74489333581835	44.09139415947195	39.279908514663475	207.17025557911091	14.93965920453618	642.6559405660356	22.91011897800789	46.325513448268964	108.62294919877634	4.2734249783163385	7.278558657511172	18.034304710911886	71.1689277309482	24.54857682197701	3.948719601234551	5.641940421617062	280.34889161426344	12.152604586379047	347.07292624076433	75.62799315371595	47.55093966940297	18.283790087754213	7.539287199081921	54.54937582547868
2014-11-20 00:00:00+08:00	36.17904263144504	6.8594032639230775	335.29220420568856	101.3463287952805	140.75557407884148	109.74713409512556	12.51238735095948	113.6985836863048	107.1096561902964	5.495918160505823	634.701513212789	5.439083014475973	21.09813418768111	117.96222033745987	9.555870449744774	86.69627592126481	560.3264549779898	18.721687481330708	5.379944315087382	18.563601048084873	107.37896350370256	3.122720551320092	4.187863783993643	6.314069218531513	37.96235640233416	66.07522330528417	77.41457584292375	3.960588190525148	6.426478558824647	9.584926371931504	775.9516733482455	169.80719756033554	23.259683557052732	59.44367882533589	5.869512119933604	17.481645431840857	239.83545242643524	9.72033259747067	14.815831739853087	9.179501846539404	123.24723463244074	12.761358287176929	473.71690614205363	146.49679749230145	5.211639898744799	26.11505179281078	4.030920894506	99.829573058473	32.368169495769195	950.0708023549206	11.152957889270912	92.86232485917786	47.57013806989954	23.045811058512196	18.98165064504866	7.404416295998324	277.1970908739487	43.925481105250036	39.031824881939286	207.8113187732701	14.981772408777301	643.8308143147852	22.93600611809602	46.6845416173138	107.68423235384864	4.2848207782585135	7.2195751999948765	18.325180593345948	72.20752917802945	24.627384452224124	3.9385161914122384	5.625727949141152	280.994559259621	12.20044948632542	341.3402445897842	74.73374323466862	47.58043777093486	18.84915156232917	7.708077211001664	54.31254785517993
2014-11-21 00:00:00+08:00	36.69343660250823	7.015298792648602	334.63476851116764	103.09972548724035	142.38804852047753	111.0510604408102	12.887758971488266	114.38687145148563	107.1096561902964	5.516579506973889	645.9153208667252	5.5150478610468685	21.446488162064934	119.9771029829755	9.617921556561297	84.2582479144801	559.5745407871981	18.910414169650565	5.447901506435853	18.85930442761189	108.57206309818815	3.1596030775167856	4.2308897817743985	6.479225958654068	38.498115464463865	67.17190750952125	76.66419223216843	3.984738118516155	6.5145125116852585	9.368259575579987	803.1666798456371	168.66242993633327	23.582734717567345	59.44367882533589	5.9539655317312095	19.229809975024946	259.8045845168766	9.788625332347513	14.815831739853087	9.301084652453833	123.41537547095702	13.563119017261345	475.06499067859903	160.85922861899772	5.296612288398246	26.85515447519813	4.0409981967422635	100.71864050301407	32.534373190227576	964.5516694550947	11.1660944710015	93.9509804847251	48.03003064338498	23.79031596789144	20.89529370489048	7.587907661934142	281.71906625525287	44.796524639915056	39.19721397042208	207.9181626389633	15.308149741645956	654.4046780535317	23.11721609871304	47.92482074674139	108.22064197952162	4.330403978027221	7.3257454235242125	19.16358754859707	77.05433593107527	24.86380734296548	3.999736650346108	5.6743653665688845	284.2228974864089	12.248294386271795	344.45227177174485	75.3724931768453	48.25889410616828	19.437127495887125	7.9331305602279905	54.70726113901117
2014-11-24 00:00:00+08:00	36.762022465316655	7.160801286125759	340.8804076091167	113.44476596980358	144.20190901118426	113.52852049761104	13.179714676343984	117.89386149312143	109.60888150140329	5.6508782590163245	657.1291285206614	5.636591615560298	22.41582096035036	119.42758953419849	9.717203327467738	84.45329015502288	545.8897025147886	19.426267117724873	5.561163492016642	18.85930442761189	109.61602524336305	3.1596030775167856	4.216547782514147	6.479225958654068	39.34002256209628	69.32610862498693	78.91534306443438	4.057187902489177	6.499840186208488	9.399211975058774	808.9984669522211	174.95865186834567	23.636576577653123	59.9835150367751	5.982116668997077	21.123654896807704	278.95024724276374	10.016267781936989	14.815831739853087	9.625305468225644	124.00386840576405	14.46509983860631	486.11928387827135	172.3491735203547	5.282450223456005	27.419042233207545	4.09138470792359	107.70417042440852	32.78367873191514	969.2107310438466	11.59960166811097	96.12829173581952	48.74861278945597	25.380849183383475	22.991858527805416	7.825367076674612	288.04983178907884	45.08687248480338	40.975146671612116	210.1618838185205	15.466074257550144	666.7408524154025	24.722218784178	49.894035855744846	108.69000040198549	4.558319976870759	7.502695796073106	19.368911700903467	81.80222826058953	25.533672200065972	4.091567338746911	5.91755245370755	287.8386363004113	12.391829086110913	355.7538441693912	76.77774304963394	48.81935803527414	21.054061313171516	8.720817282520134	56.52294224463493
2014-11-25 00:00:00+08:00	37.139244710763	7.368661991093125	342.5239968454191	115.02282299256748	147.104085796315	114.70205420872723	13.51337833903624	117.99218831671871	110.32294587600529	5.712862298420526	659.3718900514485	5.697363492817013	23.582049483287506	120.34344528216015	9.742023770194349	84.55081127529425	550.2508048213808	19.614993806044737	5.640446881923193	19.078343968002272	112.22593060630024	3.2087797791123776	4.245231781034652	6.54274778177813	41.02383675736111	69.24777403897001	79.33222284818734	4.141712650457701	6.587874139069102	9.481751707002207	812.2383486781009	192.5117554363804	23.87886494803908	60.75470962454542	6.0243433748958815	20.957163035552075	279.1561145839023	10.175617496649624	14.815831739853087	9.726624473154336	125.93748804870138	14.264659656085206	492.05085583907095	172.3491735203547	5.339098483224969	27.45428521808313	4.11153931239612	106.18005480519516	32.78367873191514	972.6105867978006	12.506025807521679	105.5995956780803	50.3007502249693	25.27932578664994	23.371772958803426	8.084413710936943	290.31081947973087	46.04087254657936	42.21556483523307	213.2603559236232	15.687168579816008	679.6644636516482	24.722218784178	49.894035855744846	111.23794612393208	4.569715776812937	7.821206466661113	19.5913461992354	81.40657056646334	25.691287460560204	4.1936014369700265	6.0310397610389295	294.0370456958442	12.415751536084109	359.0296622556655	77.54424298024591	49.704301081230774	21.33674205045899	8.990881301591724	58.81227929085618
2014-11-26 00:00:00+08:00	37.85939627025147	7.2751246738578095	338.90810052555383	117.12689902291932	147.8296299925977	120.43933012973976	13.388254465526645	120.48313451451612	108.89481712680131	5.6715396054843925	661.6146515822359	5.758135370073727	23.46088288350183	122.72467022686045	9.903356647917313	84.84337463610842	545.2881711621553	19.66532092293004	5.651773080481272	19.11119989906083	111.18196846112535	3.2825448315057657	4.374309774376922	6.746017615775116	40.41154068635572	69.20860674596155	81.12480591832504	4.10548775847119	6.822631346697398	9.296037310129476	809.3224551248088	198.04479895239132	24.49804633902544	61.07861135140895	6.136947923959355	22.975876853276553	291.91988973449367	10.22114598656752	14.815831739853087	9.726624473154336	126.35784014499208	14.648836672583988	489.62430367328926	169.85968545839398	5.409908807936176	27.771472081963424	4.101462010159855	106.43407407506409	32.617475037456764	981.6139085166047	12.676801370019353	105.38186455297091	49.06478893372721	27.01650390853485	24.83514706338835	8.052032881654153	290.76301701786133	46.99487260835533	42.05017574675028	214.8630139090212	15.392376150128188	674.9649686566498	25.369397286381606	52.09172343595864	111.50615093676856	4.615298976581644	8.116123754242604	20.515304884614192	84.17617442534666	26.08532561179579	4.2038048467923375	5.998614816087108	290.5504404109132	12.631053585842789	359.3572440642929	77.9274929455519	49.05534284752924	23.462501194860838	9.103407976204887	59.206992574687426
2014-11-27 00:00:00+08:00	38.37379024131468	7.306303779602915	337.9219469837724	118.88029571487921	147.104085796315	120.30893749517128	13.374351812914464	126.34996832248629	110.67997806330628	5.557902199910023	659.3718900514485	5.71255646213119	23.37000793366257	123.64052597482208	9.915766869280617	87.47644488343593	541.5286002081967	20.055356078791093	5.6857516761555065	19.08929594502179	111.62938080905748	3.3071331823035623	4.417335772157678	7.063626731395416	40.56461470410706	69.40444321100388	80.33273432919444	4.10548775847119	7.116077856232772	9.605561304917362	802.8426916730492	196.3276475163879	24.90186028966871	60.770133516300824	6.165099061225224	24.51592656989111	304.4777975439465	10.08456051681383	16.294224138876473	9.706360672168596	125.76934721018507	16.05191795023171	492.5900896536891	186.7116046470509	5.409908807936176	27.70098611221225	4.514631401846722	106.56108370999851	32.57592411384217	986.3988906888362	12.558572134444043	108.64783142961257	48.604896360241774	27.704606930839915	26.073386690344826	8.052032881654153	294.8327948610352	47.285220453243674	42.95981573340563	214.5424823119416	15.445017655429584	669.6780367872766	26.353108609731105	53.14704866012071	113.11537981378748	4.603903176639467	8.092530371236085	20.840401459099315	86.64903501363536	25.84890272105444	4.234415076259273	6.095889650942572	294.55357981213024	12.631053585842789	359.6848258729204	77.67199296868125	49.14383715212491	24.819368733840747	9.013386636514355	60.31218976941492
2014-11-28 00:00:00+08:00	41.631618724714954	7.3790550263414945	339.89425406733534	126.24456182111065	144.3832950602549	116.70140793877708	13.30483854985358	122.81020267298472	112.8221711871122	5.6715396054843925	668.3429361745975	5.970836940472228	23.15796638403763	134.26445265117715	10.126740632456801	86.89131816180759	535.9644351963382	20.11826497489772	5.753708867503978	18.760736634436213	111.25653718578072	3.516134164084828	4.775885753663983	7.76236678576007	41.176910775112454	71.32364056841878	79.16547093468616	4.177937542444211	7.835021804594432	9.481751707002207	795.0669755309372	209.1108859844132	27.40550678365703	60.399960114171066	6.615517257479122	23.704278746269928	297.68417528637366	10.426024191198048	17.921519369456178	10.212955696812053	124.08793882502218	15.868181116254034	480.45732882478063	205.47851465260067	5.721474236665485	27.45428521808313	4.444090286192865	113.41960399645849	32.45127134299838	981.4250276413852	12.256430754640473	107.12371355384646	49.927087509012395	27.18570956975741	25.552763210829028	7.976477613327639	297.5459800898177	50.396090219904444	42.58769028431935	213.3671997893164	15.192338429982884	666.1534155410278	27.44036849343317	53.98478105455863	112.44486778169625	4.752048575887768	8.068936988229567	22.790980906010088	85.21477587242791	26.24294087229003	4.4384832727055015	6.7119636050271945	290.5504404109132	12.870278085574661	356.9003804995872	78.43849289929322	48.14090170004072	25.565645880279693	9.812326026267812	59.44382054498618
2014-12-01 00:00:00+08:00	40.87717423382225	7.264731638609443	338.57938267829337	122.73776843719091	143.65775086397224	114.52819736263595	13.151909371119633	118.45104682683929	115.67842868552009	5.568232873144057	677.3139822977465	6.001222879100586	23.40029958360899	131.70005655688456	10.139150853820103	89.91447289022068	555.6645869950811	20.583790806086718	6.331344993965992	19.144055830119385	114.98497341854817	3.4792516378881335	4.833253750704992	8.003749713631496	40.56461470410706	70.73613117329177	87.1695627827429	4.298687182399246	7.952400408408581	9.677783570367868	832.6496035511445	204.15022628040342	27.782399804257427	60.723861841034605	6.728121806542597	23.55859836767125	307.77167500216365	10.47155268111594	19.718989264671656	10.841133527369935	125.60120637166878	15.78466437353691	484.2319655271077	193.4140725061758	5.6789880418387595	27.63050014246107	4.57509521526431	113.03857509165516	32.11886395408163	1007.6794692969188	12.624255043096989	102.87795661421228	49.52468150721264	26.71193371833425	26.622151979564173	8.106000930458805	303.4245480855132	50.188698902127044	44.034844808543795	219.56414399952192	15.476602558610423	678.4895899028987	30.08085678242391	55.246819466958634	113.18243101699656	4.820423375540829	8.092530371236085	21.884132566656838	86.69849222540114	26.361152317660704	4.5099071414616825	7.37667497653955	290.4213068818417	12.942045435494222	346.090180814882	77.03324302650459	47.81642258318996	24.627145832485255	9.553514674657539	61.57527227767492
